text,label
कक्षा बिहान ९ बजे सुरु हुनेछ।,legitimate
Prabhu Bank सुरक्षा कारणले तपाईंको खाता रोकिएको छ। https://secure-login.net,phishing
"तपाईंले रु 5,000 जित्नुभएको छ। पुरस्कार लिन https://claim-prize.net",phishing
Dinner at 7 PM?,legitimate
Happy Birthday!,legitimate
Everest Bank सुरक्षा कारणले तपाईंको खाता रोकिएको छ। https://account-update.org,phishing
"तपाईंले रु 75,000 जित्नुभएको छ। पुरस्कार लिन https://account-update.org",phishing
आज बेलुका भेटौं।,legitimate
Your parcel has been delivered.,legitimate
भोलि बिहान १० बजे बैठक छ।,legitimate
Update your account immediately. https://claim-prize.net,phishing
OTP पुष्टि गर्नुहोस्। https://claim-prize.net,phishing
आजको मौसम राम्रो छ।,legitimate
Nepal Telecom नम्बर Verify गर्नुहोस्। https://account-update.org,phishing
Your meeting is tomorrow at 10 AM.,legitimate
Update your account immediately. https://verify-now.com,phishing
"Congratulations! You won रु 250,000. https://security-check.info",phishing
Khalti KYC अपडेट गर्नुहोस्। https://secure-login.net,phishing
Pathao बाट आएको पार्सल रोकिएको छ। https://secure-login.net,phishing
Siddhartha Bank सुरक्षा कारणले तपाईंको खाता रोकिएको छ। https://claim-prize.net,phishing
Ncell नम्बर Verify गर्नुहोस्। https://security-check.info,phishing
Pathao बाट आएको पार्सल रोकिएको छ। https://security-check.info,phishing
तपाईंको अपोइन्टमेन्ट पुष्टि भएको छ।,legitimate
OTP पुष्टि गर्नुहोस्। https://secure-login.net,phishing
Sastodeal बाट आएको पार्सल रोकिएको छ। https://verify-now.com,phishing
"Congratulations! You won रु 50,000. https://secure-login.net",phishing
OTP पुष्टि गर्नुहोस्। https://verify-now.com,phishing
Ncell नम्बर Verify गर्नुहोस्। https://claim-prize.net,phishing
"तपाईंले रु 250,000 जित्नुभएको छ। पुरस्कार लिन https://claim-prize.net",phishing
Khalti KYC अपडेट गर्नुहोस्। https://account-update.org,phishing
तपाईंको बिजुली बिल तयार भएको छ।,legitimate
Sastodeal बाट आएको पार्सल रोकिएको छ। https://secure-login.net,phishing
Your account has been suspended. https://claim-prize.net,phishing
