text,label
Class 9 baje suru huncha.,legitimate
OTP confirm garnu hos. https://claim-prize.net,phishing
Dinner 7 baje cha.,legitimate
Everest Bank security update required. https://verify-now.com,phishing
Tapai ko order deliver bhayo.,legitimate
Bholi bihana 10 baje meeting cha.,legitimate
Aaja weather ramro cha.,legitimate
Pathao parcel verify garnu hos. https://bank-security.info,phishing
Bill payment successful.,legitimate
Tapai ko account ma suspicious activity dekheko cha. https://bank-security.info,phishing
Office bata email ayo.,legitimate
Sastodeal parcel verify garnu hos. https://account-update.org,phishing
Aaja beluka vetau.,legitimate
Tapai ko NIC Asia Bank account suspend huna lagyo. https://account-update.org,phishing
OTP confirm garnu hos. https://verify-now.com,phishing
"Congratulations! Claim Rs 250,000. https://secure-login.net",phishing
Tapai ko Kumari Bank account suspend huna lagyo. https://account-update.org,phishing
Everest Bank security update required. https://secure-login.net,phishing
Siddhartha Bank security update required. https://secure-login.net,phishing
Tapai ko Nabil Bank account suspend huna lagyo. https://verify-now.com,phishing
"Tapai le Rs 75,000 jitnu bhayo. Claim garnu hos https://bank-security.info",phishing
Happy Birthday!,legitimate
"Congratulations! Claim Rs 10,000. https://claim-prize.net",phishing
IME Pay KYC update garnu hos. https://account-update.org,phishing
Please call me.,legitimate
eSewa KYC update garnu hos. https://claim-prize.net,phishing
Tapai ko account ma suspicious activity dekheko cha. https://claim-prize.net,phishing
Pathao parcel verify garnu hos. https://claim-prize.net,phishing
Ncell SIM verify garnu hos. https://verify-now.com,phishing
"Tapai le Rs 25,000 jitnu bhayo. Claim garnu hos https://secure-login.net",phishing
"Tapai le Rs 10,000 jitnu bhayo. Claim garnu hos https://verify-now.com",phishing
"Tapai le Rs 25,000 jitnu bhayo. Claim garnu hos https://account-update.org",phishing
Sastodeal parcel verify garnu hos. https://secure-login.net,phishing
Ncell SIM verify garnu hos. https://account-update.org,phishing
OTP confirm garnu hos. https://account-update.org,phishing
Tapai ko Siddhartha Bank account suspend huna lagyo. https://verify-now.com,phishing
IME Pay KYC update garnu hos. https://verify-now.com,phishing
eSewa KYC update garnu hos. https://secure-login.net,phishing
"Congratulations! Claim Rs 100,000. https://verify-now.com",phishing
"Congratulations! Claim Rs 25,000. https://secure-login.net",phishing
Tapai ko NIC Asia Bank account suspend huna lagyo. https://secure-login.net,phishing
Daraz parcel verify garnu hos. https://claim-prize.net,phishing
Tapai ko account ma suspicious activity dekheko cha. https://account-update.org,phishing
Pathao parcel verify garnu hos. https://verify-now.com,phishing
"Congratulations! Claim Rs 75,000. https://secure-login.net",phishing
OTP confirm garnu hos. https://bank-security.info,phishing
Tapai ko Machhapuchchhre Bank account suspend huna lagyo. https://secure-login.net,phishing
Account verify nagare banda hune cha. https://verify-now.com,phishing
Daraz parcel verify garnu hos. https://secure-login.net,phishing
Nabil Bank security update required. https://verify-now.com,phishing
Daraz parcel verify garnu hos. https://verify-now.com,phishing
Global IME Bank security update required. https://bank-security.info,phishing
Account verify nagare banda hune cha. https://account-update.org,phishing
Nepal Telecom SIM verify garnu hos. https://verify-now.com,phishing
"Tapai le Rs 25,000 jitnu bhayo. Claim garnu hos https://verify-now.com",phishing
Account verify nagare banda hune cha. https://secure-login.net,phishing
Himalayan Bank security update required. https://bank-security.info,phishing
eSewa KYC update garnu hos. https://bank-security.info,phishing
Machhapuchchhre Bank security update required. https://secure-login.net,phishing
eSewa KYC update garnu hos. https://account-update.org,phishing
Tapai ko account ma suspicious activity dekheko cha. https://secure-login.net,phishing
Tapai ko Sanima Bank account suspend huna lagyo. https://verify-now.com,phishing
"Congratulations! Claim Rs 5,000. https://secure-login.net",phishing
"Tapai le Rs 5,000 jitnu bhayo. Claim garnu hos https://bank-security.info",phishing
Tapai ko Machhapuchchhre Bank account suspend huna lagyo. https://verify-now.com,phishing
